Measurement,Left CP,Right CP,Combined CR,Left CR,Right CR
0,32,31,6.777777777777778,13.34375,13.774193548387096
1,31,36,6.373134328358209,13.774193548387096,11.86111111111111
2,41,37,5.4743589743589745,10.414634146341463,11.54054054054054
3,38,53,4.6923076923076925,11.236842105263158,8.056603773584905
4,52,41,4.591397849462366,8.211538461538462,10.414634146341463
5,50,74,3.443548387096774,8.54,5.77027027027027
6,51,54,4.066666666666666,8.372549019607844,7.907407407407407
7,40,48,4.8522727272727275,10.675,8.895833333333334
8,41,42,5.144578313253012,10.414634146341463,10.166666666666666
9,31,28,7.237288135593221,13.774193548387096,15.25
10,25,22,9.085106382978724,17.08,19.40909090909091
11,24,23,9.085106382978724,17.791666666666668,18.565217391304348
12,22,24,9.282608695652174,19.40909090909091,17.791666666666668
13,25,20,9.488888888888889,17.08,21.35
14,24,21,9.488888888888889,17.791666666666668,20.333333333333332
15,23,26,8.714285714285714,18.565217391304348,16.423076923076923
16,25,26,8.372549019607844,17.08,16.423076923076923
17,30,23,8.056603773584905,14.233333333333333,18.565217391304348
18,26,24,8.54,16.423076923076923,17.791666666666668
19,32,29,7.0,13.34375,14.724137931034482
20,27,27,7.907407407407407,15.814814814814815,15.814814814814815
21,37,27,6.671875,11.54054054054054,15.814814814814815
22,52,44,4.447916666666667,8.211538461538462,9.704545454545455
23,35,29,6.671875,12.2,14.724137931034482
24,32,25,7.491228070175438,13.34375,17.08
25,45,34,5.405063291139241,9.488888888888889,12.558823529411764
26,40,41,5.271604938271605,10.675,10.414634146341463
27,51,38,4.797752808988764,8.372549019607844,11.236842105263158
28,68,55,3.4715447154471546,6.279411764705882,7.763636363636364
29,55,50,4.066666666666666,7.763636363636364,8.54
30,53,44,4.402061855670103,8.056603773584905,9.704545454545455
31,48,47,4.494736842105263,8.895833333333334,9.085106382978724
32,30,27,7.491228070175438,14.233333333333333,15.814814814814815
33,26,22,8.895833333333334,16.423076923076923,19.40909090909091
34,21,22,9.930232558139535,20.333333333333332,19.40909090909091
35,29,22,8.372549019607844,14.724137931034482,19.40909090909091
36,23,21,9.704545454545455,18.565217391304348,20.333333333333332
37,21,27,8.895833333333334,20.333333333333332,15.814814814814815
38,24,27,8.372549019607844,17.791666666666668,15.814814814814815
39,28,27,7.763636363636364,15.25,15.814814814814815
40,29,25,7.907407407407407,14.724137931034482,17.08
41,29,29,7.362068965517241,14.724137931034482,14.724137931034482
42,29,32,7.0,14.724137931034482,13.34375
43,38,27,6.569230769230769,11.236842105263158,15.814814814814815
44,43,43,4.965116279069767,9.930232558139535,9.930232558139535
45,33,29,6.887096774193548,12.93939393939394,14.724137931034482
46,32,31,6.777777777777778,13.34375,13.774193548387096
47,42,39,5.271604938271605,10.166666666666666,10.948717948717949
48,41,45,4.965116279069767,10.414634146341463,9.488888888888889
49,60,44,4.105769230769231,7.116666666666666,9.704545454545455
50,69,53,3.5,6.188405797101449,8.056603773584905
51,49,47,4.447916666666667,8.714285714285714,9.085106382978724
52,49,41,4.7444444444444445,8.714285714285714,10.414634146341463
53,48,32,5.3375,8.895833333333334,13.34375
54,30,26,7.625,14.233333333333333,16.423076923076923
55,28,23,8.372549019607844,15.25,18.565217391304348
56,22,23,9.488888888888889,19.40909090909091,18.565217391304348
57,27,20,9.085106382978724,15.814814814814815,21.35
58,24,23,9.085106382978724,17.791666666666668,18.565217391304348
59,26,25,8.372549019607844,16.423076923076923,17.08
60,24,30,7.907407407407407,17.791666666666668,14.233333333333333
61,31,30,7.0,13.774193548387096,14.233333333333333
62,30,23,8.056603773584905,14.233333333333333,18.565217391304348
63,29,35,6.671875,14.724137931034482,12.2
64,27,33,7.116666666666666,15.814814814814815,12.93939393939394
65,39,30,6.188405797101449,10.948717948717949,14.233333333333333
66,49,41,4.7444444444444445,8.714285714285714,10.414634146341463
67,38,29,6.373134328358209,11.236842105263158,14.724137931034482
68,35,31,6.46969696969697,12.2,13.774193548387096
69,44,39,5.144578313253012,9.704545454545455,10.948717948717949
70,45,45,4.7444444444444445,9.488888888888889,9.488888888888889
71,73,38,3.8468468468468466,5.8493150684931505,11.236842105263158
72,88,42,3.2846153846153845,4.8522727272727275,10.166666666666666
73,54,42,4.447916666666667,7.907407407407407,10.166666666666666
74,58,38,4.447916666666667,7.362068965517241,11.236842105263158
75,56,33,4.797752808988764,7.625,12.93939393939394
76,32,26,7.362068965517241,13.34375,16.423076923076923
77,29,20,8.714285714285714,14.724137931034482,21.35
78,21,23,9.704545454545455,20.333333333333332,18.565217391304348
79,27,24,8.372549019607844,15.814814814814815,17.791666666666668
80,25,25,8.54,17.08,17.08
81,29,27,7.625,14.724137931034482,15.814814814814815
82,32,29,7.0,13.34375,14.724137931034482
83,28,27,7.763636363636364,15.25,15.814814814814815
84,27,25,8.211538461538462,15.814814814814815,17.08
85,27,34,7.0,15.814814814814815,12.558823529411764
86,32,27,7.237288135593221,13.34375,15.814814814814815
87,38,32,6.1,11.236842105263158,13.34375
88,53,38,4.6923076923076925,8.056603773584905,11.236842105263158
89,37,29,6.46969696969697,11.54054054054054,14.724137931034482
90,42,35,5.545454545454546,10.166666666666666,12.2
91,53,37,4.7444444444444445,8.056603773584905,11.54054054054054
92,49,46,4.494736842105263,8.714285714285714,9.282608695652174
93,75,40,3.7130434782608694,5.693333333333333,10.675
94,83,33,3.6810344827586206,5.144578313253012,12.93939393939394
95,66,42,3.9537037037037037,6.46969696969697,10.166666666666666
96,64,35,4.313131313131313,6.671875,12.2
97,55,27,5.2073170731707314,7.763636363636364,15.814814814814815
98,38,25,6.777777777777778,11.236842105263158,17.08
99,30,21,8.372549019607844,14.233333333333333,20.333333333333332
100,22,24,9.282608695652174,19.40909090909091,17.791666666666668
101,26,24,8.54,16.423076923076923,17.791666666666668
102,25,29,7.907407407407407,17.08,14.724137931034482
103,29,26,7.763636363636364,14.724137931034482,16.423076923076923
104,28,30,7.362068965517241,15.25,14.233333333333333
105,27,22,8.714285714285714,15.814814814814815,19.40909090909091
106,29,24,8.056603773584905,14.724137931034482,17.791666666666668
107,25,29,7.907407407407407,17.08,14.724137931034482
108,32,26,7.362068965517241,13.34375,16.423076923076923
109,38,29,6.373134328358209,11.236842105263158,14.724137931034482
110,52,43,4.494736842105263,8.211538461538462,9.930232558139535
111,49,35,5.083333333333333,8.714285714285714,12.2
112,42,31,5.8493150684931505,10.166666666666666,13.774193548387096
113,53,37,4.7444444444444445,8.056603773584905,11.54054054054054
114,69,46,3.7130434782608694,6.188405797101449,9.282608695652174
115,80,32,3.8125,5.3375,13.34375
116,90,40,3.2846153846153845,4.7444444444444445,10.675
117,71,34,4.066666666666666,6.014084507042254,12.558823529411764
118,67,39,4.028301886792453,6.373134328358209,10.948717948717949
119,61,26,4.908045977011494,7.0,16.423076923076923
120,41,25,6.46969696969697,10.414634146341463,17.08
121,32,20,8.211538461538462,13.34375,21.35
122,24,25,8.714285714285714,17.791666666666668,17.08
123,24,28,8.211538461538462,17.791666666666668,15.25
124,29,25,7.907407407407407,14.724137931034482,17.08
125,31,28,7.237288135593221,13.774193548387096,15.25
126,26,33,7.237288135593221,16.423076923076923,12.93939393939394
127,30,29,7.237288135593221,14.233333333333333,14.724137931034482
128,32,26,7.362068965517241,13.34375,16.423076923076923
129,26,29,7.763636363636364,16.423076923076923,14.724137931034482
130,29,27,7.625,14.724137931034482,15.814814814814815
131,43,30,5.8493150684931505,9.930232558139535,14.233333333333333
132,56,48,4.105769230769231,7.625,8.895833333333334
133,50,36,4.965116279069767,8.54,11.86111111111111
134,48,34,5.2073170731707314,8.895833333333334,12.558823529411764
135,62,44,4.028301886792453,6.887096774193548,9.704545454545455
136,76,39,3.7130434782608694,5.618421052631579,10.948717948717949
137,91,37,3.3359375,4.6923076923076925,11.54054054054054
138,103,38,3.028368794326241,4.145631067961165,11.236842105263158
139,70,36,4.028301886792453,6.1,11.86111111111111
140,71,41,3.8125,6.014084507042254,10.414634146341463
141,64,25,4.797752808988764,6.671875,17.08
142,47,21,6.279411764705882,9.085106382978724,20.333333333333332
143,32,21,8.056603773584905,13.34375,20.333333333333332
144,23,26,8.714285714285714,18.565217391304348,16.423076923076923
145,25,27,8.211538461538462,17.08,15.814814814814815
146,27,27,7.907407407407407,15.814814814814815,15.814814814814815
147,34,28,6.887096774193548,12.558823529411764,15.25
148,26,26,8.211538461538462,16.423076923076923,16.423076923076923
149,27,24,8.372549019607844,15.814814814814815,17.791666666666668
150,36,28,6.671875,11.86111111111111,15.25
151,29,34,6.777777777777778,14.724137931034482,12.558823529411764
152,29,29,7.362068965517241,14.724137931034482,14.724137931034482
153,43,34,5.545454545454546,9.930232558139535,12.558823529411764
154,55,60,3.7130434782608694,7.763636363636364,7.116666666666666
155,47,30,5.545454545454546,9.085106382978724,14.233333333333333
156,60,32,4.641304347826087,7.116666666666666,13.34375
157,82,43,3.416,5.2073170731707314,9.930232558139535
158,77,46,3.4715447154471546,5.545454545454546,9.282608695652174
159,95,43,3.0942028985507246,4.494736842105263,9.930232558139535
160,76,41,3.6495726495726495,5.618421052631579,10.414634146341463
161,80,37,3.6495726495726495,5.3375,11.54054054054054
162,76,35,3.8468468468468466,5.618421052631579,12.2
163,72,27,4.313131313131313,5.930555555555555,15.814814814814815
164,46,23,6.188405797101449,9.282608695652174,18.565217391304348
165,30,22,8.211538461538462,14.233333333333333,19.40909090909091
166,24,23,9.085106382978724,17.791666666666668,18.565217391304348
167,26,30,7.625,16.423076923076923,14.233333333333333
168,28,30,7.362068965517241,15.25,14.233333333333333
169,34,29,6.777777777777778,12.558823529411764,14.724137931034482
